Nb habitants,270 582,Classement
Age moyen,57 ans,Classement
Pop active,44.1%,Classement
Taux chômage,7.3%,Classement
Pop densité,52 h/km²,Classement
Revenu moyen,15 403 €/an,Classement
Agressions physiques / sexuelles,1 858
Cambriolages,166
Vols / dégradations,1 299
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Charleville-Mézières,46 436,31 km²,1 498 h/km²,41.5%,9.7%,17 870 €/an,1 272 €/m²,3.1
Sedan,16 092,16 km²,1 006 h/km²,40.7%,11.4%,16 570 €/an,924 €/m²,3.3
Rethel,7 467,19 km²,393 h/km²,44.2%,8.5%,18 460 €/an,1 338 €/m²,3.4
Givet,6 476,18 km²,360 h/km²,44.6%,9.5%,18 350 €/an,1 328 €/m²,2.7
Revin,5 836,38 km²,154 h/km²,39.6%,10.5%,17 530 €/an,872 €/m²,3.3
Nouzonville,5 689,11 km²,517 h/km²,42.8%,10.4%,17 880 €/an,1 029 €/m²,2.8
Bogny-sur-Meuse,5 018,23 km²,218 h/km²,42.1%,9.6%,18 060 €/an,963 €/m²,3.0
Vouziers,4 320,42 km²,103 h/km²,40.1%,7%,19 670 €/an,1 040 €/m²,-
Vrigne aux Bois,3 572,23 km²,155 h/km²,43.7%,9.2%,19 500 €/an,1 269 €/m²,-
Villers-Semeuse,3 568,7 km²,510 h/km²,44.2%,6.9%,20 820 €/an,1 457 €/m²,3.2
Fumay,3 280,38 km²,86 h/km²,40.2%,10.1%,17 750 €/an,948 €/m²,-
Vivier-au-Court,2 918,9 km²,324 h/km²,41.5%,6.1%,19 000 €/an,1 231 €/m²,4.8
Carignan,2 879,14 km²,206 h/km²,42.1%,9%,18 800 €/an,986 €/m²,-
Bazeilles,2 423,36 km²,67 h/km²,43.1%,5.9%,22 330 €/an,1 281 €/m²,-
Floing,2 313,7 km²,330 h/km²,43%,7.2%,21 900 €/an,1 395 €/m²,2.9
