Nb habitants,153 287,Classement
Age moyen,58 ans,Classement
Pop active,43.3%,Classement
Taux chômage,6.5%,Classement
Pop densité,31 h/km²,Classement
Revenu moyen,13 794 €/an,Classement
Agressions physiques / sexuelles,810
Cambriolages,140
Vols / dégradations,631
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Pamiers,15 659,46 km²,340 h/km²,45.5%,7.9%,18 700 €/an,1 288 €/m²,2.7
Foix,9 493,19 km²,500 h/km²,41.6%,7.5%,20 280 €/an,1 330 €/m²,3.8
Saint-Girons,6 418,19 km²,338 h/km²,40.3%,7.6%,19 480 €/an,1 285 €/m²,3.4
Lavelanet,6 031,13 km²,464 h/km²,37.4%,11%,17 700 €/an,869 €/m²,3.1
Saverdun,4 828,61 km²,79 h/km²,46.7%,6.3%,20 530 €/an,1 385 €/m²,3.9
Mazères,3 873,44 km²,88 h/km²,46.7%,5.4%,20 860 €/an,1 383 €/m²,3.8
Varilhes,3 495,12 km²,291 h/km²,44.8%,5.4%,21 510 €/an,1 402 €/m²,3.4
Tarascon-sur-Ariège,3 024,9 km²,336 h/km²,37.2%,8.3%,18 080 €/an,1 587 €/m²,-
Mirepoix,3 102,47 km²,66 h/km²,39.5%,6.8%,19 940 €/an,1 296 €/m²,5.0
La Tour-du-Crieu,3 218,10 km²,322 h/km²,44.6%,4.5%,21 640 €/an,1 726 €/m²,5.0
Saint-Jean-du-Falga,2 859,4 km²,715 h/km²,41.2%,5.1%,21 030 €/an,1 473 €/m²,-
Laroque-d'Olmes,2 405,14 km²,172 h/km²,37.3%,7%,18 130 €/an,1 037 €/m²,-
Verniolle,2 252,11 km²,205 h/km²,44.8%,5.4%,22 460 €/an,1 548 €/m²,3.2
Lézat-sur-Lèze,2 348,40 km²,59 h/km²,44%,4%,20 800 €/an,1 556 €/m²,-
Montgaillard,1 484,8 km²,186 h/km²,41.1%,5.3%,21 790 €/an,1 344 €/m²,2.8
