Nb habitants,1 140 057,Classement
Age moyen,55 ans,Classement
Pop active,48.6%,Classement
Taux chômage,5.7%,Classement
Pop densité,240 h/km²,Classement
Revenu moyen,24 302 €/an,Classement
Agressions physiques / sexuelles,8 392
Cambriolages,1 158
Vols / dégradations,11 096
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Strasbourg,287 228,78 km²,3 682 h/km²,46.7%,8.3%,19 220 €/an,NC,3.6
Haguenau,35 196,183 km²,192 h/km²,50.6%,6.3%,22 070 €/an,NC,3.1
Schiltigheim,33 780,8 km²,4 223 h/km²,47.9%,8.9%,18 880 €/an,NC,2.8
Illkirch-Graffenstaden,26 698,22 km²,1 214 h/km²,49.4%,5.4%,22 900 €/an,NC,4.0
Sélestat,19 242,44 km²,437 h/km²,48.7%,6.6%,21 380 €/an,NC,3.8
Lingolsheim,19 439,6 km²,3 240 h/km²,46.2%,6.2%,21 230 €/an,NC,2.8
Bischheim,17 353,4 km²,4 338 h/km²,46.8%,7.5%,18 740 €/an,NC,3.5
Bischwiller,12 746,17 km²,750 h/km²,45.9%,8.1%,19 550 €/an,NC,4.0
Ostwald,12 723,7 km²,1 818 h/km²,47.3%,7.2%,21 160 €/an,NC,3.5
Saverne,11 378,26 km²,438 h/km²,46.3%,6.4%,21 260 €/an,NC,3.3
Hoenheim,11 304,3 km²,3 768 h/km²,44.3%,6%,21 600 €/an,NC,3.9
Erstein,10 661,36 km²,296 h/km²,50.4%,5.6%,22 360 €/an,NC,4.4
Obernai,11 765,26 km²,453 h/km²,47.9%,4.8%,22 700 €/an,NC,3.4
Brumath,10 081,30 km²,336 h/km²,47.8%,4.4%,24 300 €/an,NC,4.1
Molsheim,9 343,11 km²,849 h/km²,46.7%,5%,22 750 €/an,NC,3.0
