Nb habitants,651 358,Classement
Age moyen,58 ans,Classement
Pop active,42.6%,Classement
Taux chômage,6%,Classement
Pop densité,95 h/km²,Classement
Revenu moyen,20 227 €/an,Classement
Agressions physiques / sexuelles,3 869
Cambriolages,1 047
Vols / dégradations,5 617
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
La Rochelle,77 205,28 km²,2 757 h/km²,42.4%,8.1%,21 010 €/an,3 760 €/m²,3.5
Saintes,25 287,46 km²,550 h/km²,42.3%,7.6%,21 010 €/an,1 719 €/m²,3.6
Rochefort,23 584,22 km²,1 072 h/km²,43.8%,9.3%,19 520 €/an,1 878 €/m²,3.4
Royan,18 419,19 km²,969 h/km²,32.1%,6.1%,22 340 €/an,3 082 €/m²,3.5
Aytré,9 247,12 km²,771 h/km²,46.2%,7.5%,21 460 €/an,2 980 €/m²,4.2
Périgny,8 684,11 km²,789 h/km²,47.4%,5.6%,24 950 €/an,3 110 €/m²,3.4
Tonnay-Charente,8 097,34 km²,238 h/km²,45.8%,7.5%,20 660 €/an,1 640 €/m²,3.1
Saujon,7 180,18 km²,399 h/km²,34.5%,6.2%,21 090 €/an,2 044 €/m²,3.4
Lagord,7 098,8 km²,887 h/km²,39.9%,4.1%,26 330 €/an,2 978 €/m²,3.4
Saint-Jean-d'Angély,6 796,19 km²,358 h/km²,37.2%,7.9%,19 190 €/an,1 135 €/m²,3.3
Saint-Pierre-d'Oléron,6 634,41 km²,162 h/km²,38.5%,6.2%,21 680 €/an,2 777 €/m²,3.9
Surgères,6 786,29 km²,234 h/km²,38.5%,6.9%,20 360 €/an,1 471 €/m²,3.7
Marennes-Hiers-Brouage,6 234,51 km²,122 h/km²,39.3%,7.1%,20 380 €/an,2 019 €/m²,3.9
Châtelaillon-Plage,5 900,7 km²,843 h/km²,36.4%,5.7%,25 200 €/an,3 911 €/m²,3.6
Puilboreau,6 556,8 km²,820 h/km²,43.3%,4.6%,23 820 €/an,2 831 €/m²,4.5
