Nb habitants,302 306,Classement
Age moyen,58 ans,Classement
Pop active,43.6%,Classement
Taux chômage,5.9%,Classement
Pop densité,42 h/km²,Classement
Revenu moyen,19 689 €/an,Classement
Agressions physiques / sexuelles,1 574
Cambriolages,397
Vols / dégradations,1 502
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Bourges,64 541,69 km²,935 h/km²,43.8%,7.1%,20 810 €/an,1 496 €/m²,3.6
Vierzon,25 464,75 km²,340 h/km²,39.7%,9.3%,18 410 €/an,895 €/m²,2.7
Saint-Amand-Montrond,9 488,20 km²,474 h/km²,37.6%,8.1%,19 500 €/an,993 €/m²,3.9
Saint-Doulchard,9 607,24 km²,400 h/km²,41.3%,4.2%,24 000 €/an,1 651 €/m²,3.7
Saint-Florent-sur-Cher,6 442,22 km²,293 h/km²,41.4%,5.5%,20 470 €/an,1 118 €/m²,3.2
Mehun-sur-Yèvre,6 555,24 km²,273 h/km²,43.6%,5.4%,21 210 €/an,1 198 €/m²,3.9
Aubigny-sur-Nère,5 502,62 km²,89 h/km²,42.5%,5%,20 830 €/an,1 169 €/m²,3.0
Saint-Germain-du-Puy,5 041,22 km²,229 h/km²,42.9%,6.1%,20 870 €/an,1 553 €/m²,3.6
Dun-sur-Auron,3 655,50 km²,73 h/km²,38.7%,5.3%,20 590 €/an,1 063 €/m²,2.3
Trouy,3 953,23 km²,172 h/km²,47.7%,3.4%,24 660 €/an,1 429 €/m²,-
La Chapelle-Saint-Ursin,3 663,8 km²,458 h/km²,47.1%,4.1%,24 130 €/an,1 524 €/m²,4.1
La Guerche-sur-l'Aubois,3 177,53 km²,60 h/km²,39.7%,4.7%,19 950 €/an,966 €/m²,-
Sancoins,2 984,54 km²,55 h/km²,35.4%,6.5%,18 310 €/an,845 €/m²,3.6
Méreau,2 606,19 km²,137 h/km²,45.4%,3.1%,23 370 €/an,1 243 €/m²,4.6
Avord,2 740,28 km²,98 h/km²,56.3%,6.4%,19 530 €/an,1 207 €/m²,-
