Nb habitants,240 157,Classement
Age moyen,58 ans,Classement
Pop active,43.2%,Classement
Taux chômage,4.6%,Classement
Pop densité,41 h/km²,Classement
Revenu moyen,18 376 €/an,Classement
Agressions physiques / sexuelles,1 238
Cambriolages,194
Vols / dégradations,846
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Brive-la-Gaillarde,46 330,49 km²,946 h/km²,41.9%,6.3%,20 300 €/an,1 565 €/m²,3.7
Tulle,14 812,24 km²,617 h/km²,47%,6.7%,20 550 €/an,953 €/m²,3.2
Ussel,9 358,50 km²,187 h/km²,43.2%,4.6%,20 240 €/an,1 031 €/m²,3.5
Malemort,7 984,20 km²,399 h/km²,42.8%,4%,22 120 €/an,1 473 €/m²,-
Saint-Pantaléon-de-Larche,4 751,23 km²,207 h/km²,48%,3.7%,22 040 €/an,1 678 €/m²,-
Égletons,4 295,17 km²,253 h/km²,42.3%,4.5%,19 400 €/an,933 €/m²,3.6
Ussac,4 215,25 km²,169 h/km²,49.6%,3.8%,25 110 €/an,1 588 €/m²,4.7
Allassac,3 968,39 km²,102 h/km²,45.1%,4.2%,21 490 €/an,1 328 €/m²,3.7
Objat,3 624,10 km²,362 h/km²,40%,5.5%,20 890 €/an,1 459 €/m²,4.4
Argentat-sur-Dordogne,2 896,30 km²,97 h/km²,38.1%,3.9%,20 770 €/an,1 315 €/m²,4.1
Cosnac,2 974,20 km²,149 h/km²,45.8%,4.3%,24 540 €/an,2 848 €/m²,-
Uzerche,2 794,24 km²,116 h/km²,35.2%,4.4%,21 110 €/an,1 005 €/m²,3.5
Bort-les-Orgues,2 648,15 km²,177 h/km²,41.1%,4.7%,19 380 €/an,953 €/m²,-
Donzenac,2 678,24 km²,112 h/km²,47%,3.2%,22 560 €/an,1 490 €/m²,2.8
Meymac,2 308,87 km²,27 h/km²,40.6%,5.4%,20 130 €/an,1 050 €/m²,-
