Nb habitants,116 617,Classement
Age moyen,58 ans,Classement
Pop active,41.4%,Classement
Taux chômage,5.1%,Classement
Pop densité,21 h/km²,Classement
Revenu moyen,17 369 €/an,Classement
Agressions physiques / sexuelles,441
Cambriolages,45
Vols / dégradations,204
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Guéret,12 734,26 km²,490 h/km²,45.2%,7%,20 270 €/an,984 €/m²,-
La Souterraine,4 982,37 km²,135 h/km²,38.2%,6.7%,19 470 €/an,991 €/m²,-
Aubusson,3 248,19 km²,171 h/km²,40.3%,7.9%,18 370 €/an,818 €/m²,3.3
Bourganeuf,2 478,23 km²,108 h/km²,34.5%,6.8%,17 420 €/an,766 €/m²,2.0
Sainte-Feyre,2 482,30 km²,83 h/km²,44%,3.3%,22 940 €/an,979 €/m²,3.0
Saint-Sulpice-le-Guérétois,1 935,36 km²,54 h/km²,46.9%,5.3%,22 710 €/an,981 €/m²,-
Saint-Vaury,1 738,47 km²,37 h/km²,43%,4.4%,21 540 €/an,1 070 €/m²,3.6
Felletin,1 550,14 km²,111 h/km²,38.4%,5%,18 860 €/an,1 017 €/m²,-
Gouzon,1 567,50 km²,31 h/km²,41.5%,3.6%,20 180 €/an,920 €/m²,-
Fursac,1 466,59 km²,25 h/km²,38.1%,3.4%,19 970 €/an,885 €/m²,-
Ahun,1 410,34 km²,41 h/km²,42.9%,4.5%,20 050 €/an,1 025 €/m²,4.4
Évaux-les-Bains,1 328,46 km²,29 h/km²,37.7%,3.2%,19 980 €/an,906 €/m²,-
Bonnat,1 342,46 km²,29 h/km²,38.6%,5%,19 920 €/an,1 047 €/m²,-
Boussac,1 249,1 km²,1 249 h/km²,32.7%,4.9%,18 550 €/an,998 €/m²,-
Auzances,1 208,7 km²,173 h/km²,34.5%,4.9%,19 320 €/an,994 €/m²,4.4
