Nb habitants,610 079,Classement
Age moyen,56 ans,Classement
Pop active,45.8%,Classement
Taux chômage,5.7%,Classement
Pop densité,99 h/km²,Classement
Revenu moyen,21 662 €/an,Classement
Agressions physiques / sexuelles,3 786
Cambriolages,1 166
Vols / dégradations,8 866
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Tours,137 087,35 km²,3 917 h/km²,46.6%,8.4%,20 210 €/an,2 531 €/m²,3.7
Joué-lès-Tours,38 444,32 km²,1 201 h/km²,43.6%,7.3%,20 560 €/an,1 963 €/m²,3.5
Saint-Cyr-sur-Loire,16 419,14 km²,1 173 h/km²,43.5%,4.4%,25 670 €/an,2 580 €/m²,3.5
Saint-Pierre-des-Corps,15 967,11 km²,1 452 h/km²,42.6%,8.4%,18 480 €/an,1 934 €/m²,3.0
Saint-Avertin,14 995,13 km²,1 153 h/km²,43.1%,3.8%,27 030 €/an,2 526 €/m²,4.0
Amboise,12 533,41 km²,306 h/km²,42.1%,6.9%,21 420 €/an,2 075 €/m²,3.8
Chambray-lès-Tours,11 880,19 km²,625 h/km²,44.9%,7%,23 290 €/an,2 300 €/m²,3.6
Montlouis-sur-Loire,10 868,25 km²,435 h/km²,44.6%,3.7%,23 620 €/an,2 207 €/m²,4.0
Fondettes,10 301,32 km²,322 h/km²,44.1%,3.4%,27 040 €/an,2 490 €/m²,4.6
La Riche,10 317,8 km²,1 290 h/km²,49.1%,7%,20 320 €/an,2 346 €/m²,3.7
Chinon,8 104,39 km²,208 h/km²,40.8%,6%,21 200 €/an,1 513 €/m²,2.9
Ballan-Miré,8 102,26 km²,312 h/km²,45.2%,4.5%,25 580 €/an,2 483 €/m²,4.3
Monts,7 876,27 km²,292 h/km²,47.9%,3.6%,24 220 €/an,1 996 €/m²,4.1
Loches,6 199,27 km²,230 h/km²,39.6%,6.2%,20 140 €/an,1 573 €/m²,3.5
Veigné,6 423,27 km²,238 h/km²,46.4%,3.3%,24 840 €/an,2 193 €/m²,4.5
