Nb habitants,219 316,Classement
Age moyen,58 ans,Classement
Pop active,42.4%,Classement
Taux chômage,5.4%,Classement
Pop densité,32 h/km²,Classement
Revenu moyen,19 087 €/an,Classement
Agressions physiques / sexuelles,1 058
Cambriolages,217
Vols / dégradations,1 194
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Châteauroux,43 122,26 km²,1 659 h/km²,43.4%,7.8%,19 520 €/an,1 187 €/m²,3.1
Issoudun,11 477,37 km²,310 h/km²,41.3%,5.9%,20 180 €/an,1 295 €/m²,3.8
Déols,7 609,32 km²,238 h/km²,44.5%,5.6%,21 350 €/an,1 255 €/m²,3.0
Le Blanc,6 250,58 km²,108 h/km²,37.4%,5.1%,19 650 €/an,995 €/m²,4.2
Le Poinçonnet,5 820,45 km²,129 h/km²,45.6%,3.5%,24 530 €/an,1 462 €/m²,4.9
Argenton-sur-Creuse,4 880,29 km²,168 h/km²,40.9%,6.8%,19 970 €/an,1 012 €/m²,4.2
Buzançais,4 516,59 km²,77 h/km²,40.8%,5.6%,19 730 €/an,1 021 €/m²,3.4
La Châtre,4 054,6 km²,676 h/km²,35.7%,6.3%,19 490 €/an,1 003 €/m²,3.7
Ardentes,3 850,62 km²,62 h/km²,47.1%,4.4%,22 270 €/an,1 238 €/m²,4.6
Saint-Maur,3 685,88 km²,42 h/km²,41.9%,3.6%,23 150 €/an,1 338 €/m²,-
Levroux,2 923,82 km²,36 h/km²,43.9%,5.1%,20 620 €/an,872 €/m²,2.6
Villedieu-sur-Indre,2 687,58 km²,46 h/km²,46.4%,6.1%,20 310 €/an,1 025 €/m²,2.3
Chabris,2 763,41 km²,67 h/km²,38.6%,4.7%,20 600 €/an,1 037 €/m²,3.3
Châtillon-sur-Indre,2 360,45 km²,52 h/km²,34.2%,5%,19 450 €/an,1 097 €/m²,3.9
Valençay,2 338,42 km²,56 h/km²,35.1%,4.9%,20 290 €/an,1 121 €/m²,3.3
