Nb habitants,329 470,Classement
Age moyen,58 ans,Classement
Pop active,43.8%,Classement
Taux chômage,5.2%,Classement
Pop densité,52 h/km²,Classement
Revenu moyen,21 317 €/an,Classement
Agressions physiques / sexuelles,1 531
Cambriolages,336
Vols / dégradations,1 786
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Blois,45 898,37 km²,1 240 h/km²,41.9%,7.9%,18 790 €/an,1 559 €/m²,3.1
Romorantin-Lanthenay,17 924,45 km²,398 h/km²,40.7%,6.4%,20 130 €/an,1 201 €/m²,3.9
Vendôme,15 856,24 km²,661 h/km²,40.1%,6.9%,20 220 €/an,1 562 €/m²,3.3
Vineuil,8 091,22 km²,368 h/km²,44.5%,4.9%,23 800 €/an,1 961 €/m²,3.8
Le Controis-en-Sologne,6 723,100 km²,67 h/km²,44.6%,4.5%,21 250 €/an,1 505 €/m²,3.0
Mer,6 171,26 km²,237 h/km²,42.3%,5.8%,20 940 €/an,1 517 €/m²,3.8
Salbris,4 953,107 km²,46 h/km²,41.4%,5.1%,20 470 €/an,1 088 €/m²,4.0
Lamotte-Beuvron,4 667,23 km²,203 h/km²,42.4%,6%,21 200 €/an,1 654 €/m²,5.0
Selles-sur-Cher,4 573,26 km²,176 h/km²,36.3%,7%,19 330 €/an,1 044 €/m²,4.0
La Chaussée-Saint-Victor,4 524,7 km²,646 h/km²,43.8%,4.2%,23 680 €/an,1 694 €/m²,3.9
Saint-Laurent-Nouan,4 337,61 km²,71 h/km²,48.9%,5.7%,22 770 €/an,1 443 €/m²,-
Montoire-sur-le-Loir,3 721,21 km²,177 h/km²,35.1%,3.7%,20 660 €/an,1 122 €/m²,3.5
Montrichard Val de Cher,3 719,19 km²,196 h/km²,38.6%,5.6%,20 460 €/an,1 296 €/m²,4.0
Veuzain-sur-Loire,3 452,38 km²,91 h/km²,43.7%,5.9%,21 450 €/an,1 308 €/m²,-
Beauce la Romaine,3 488,137 km²,25 h/km²,47.4%,4.7%,21 450 €/an,1 154 €/m²,-
