Nb habitants,307 718,Classement
Age moyen,58 ans,Classement
Pop active,45.2%,Classement
Taux chômage,4.1%,Classement
Pop densité,59 h/km²,Classement
Revenu moyen,20 523 €/an,Classement
Agressions physiques / sexuelles,1 464
Cambriolages,111
Vols / dégradations,1 339
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Laval,49 733,34 km²,1 463 h/km²,44.4%,6.5%,20 590 €/an,1 702 €/m²,3.4
Château-Gontier-sur-Mayenne,16 950,68 km²,249 h/km²,43.2%,5.2%,21 360 €/an,1 499 €/m²,4.6
Mayenne,12 823,20 km²,641 h/km²,41.8%,5.2%,21 290 €/an,1 351 €/m²,3.8
Saint-Berthevin,7 353,32 km²,230 h/km²,43.8%,3.7%,22 860 €/an,1 749 €/m²,3.3
Évron,8 614,68 km²,127 h/km²,40.3%,4.6%,20 320 €/an,1 192 €/m²,-
Bonchamp-lès-Laval,6 137,28 km²,219 h/km²,44.2%,2.6%,24 050 €/an,1 757 €/m²,4.2
Changé,6 209,35 km²,177 h/km²,45.5%,3.1%,25 060 €/an,2 000 €/m²,5.0
Ernée,5 717,37 km²,155 h/km²,40.9%,4.3%,20 070 €/an,1 096 €/m²,3.6
Craon,4 486,25 km²,179 h/km²,38.8%,3.7%,20 600 €/an,1 210 €/m²,3.8
L'Huisserie,4 326,15 km²,288 h/km²,47.4%,2.8%,23 970 €/an,1 820 €/m²,4.1
Louverné,4 375,21 km²,208 h/km²,45.8%,3.1%,22 700 €/an,1 671 €/m²,4.1
Cossé-le-Vivien,3 199,44 km²,73 h/km²,44.4%,2.6%,20 990 €/an,1 066 €/m²,4.4
Villaines-la-Juhel,2 738,29 km²,94 h/km²,37.7%,4.6%,19 980 €/an,910 €/m²,4.2
Meslay-du-Maine,2 808,24 km²,117 h/km²,40.9%,3.7%,20 080 €/an,1 549 €/m²,3.8
Ambrières-les-Vallées,2 639,39 km²,68 h/km²,41%,3.1%,20 420 €/an,1 036 €/m²,-
