Nb habitants,184 083,Classement
Age moyen,57 ans,Classement
Pop active,44.6%,Classement
Taux chômage,5.9%,Classement
Pop densité,30 h/km²,Classement
Revenu moyen,14 265 €/an,Classement
Agressions physiques / sexuelles,826
Cambriolages,127
Vols / dégradations,825
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Verdun,16 942,31 km²,547 h/km²,44.5%,9%,19 590 €/an,1 412 €/m²,3.5
Bar-le-Duc,14 625,24 km²,609 h/km²,43.9%,7.3%,20 550 €/an,1 184 €/m²,3.2
Commercy,5 386,35 km²,154 h/km²,40.8%,9.8%,18 400 €/an,1 149 €/m²,3.4
Saint-Mihiel,4 039,33 km²,122 h/km²,38.3%,8.7%,18 820 €/an,961 €/m²,4.1
Ligny-en-Barrois,4 018,32 km²,126 h/km²,39.4%,8.2%,19 880 €/an,755 €/m²,4.2
Étain,3 507,20 km²,175 h/km²,43.4%,7.7%,19 180 €/an,NC,3.1
Belleville-sur-Meuse,3 040,10 km²,304 h/km²,48.5%,6%,21 450 €/an,1 498 €/m²,3.8
Thierville-sur-Meuse,3 165,12 km²,264 h/km²,55%,3.8%,21 160 €/an,1 762 €/m²,3.5
Revigny-sur-Ornain,2 802,19 km²,147 h/km²,44.6%,9.5%,19 890 €/an,967 €/m²,-
Ancerville,2 662,22 km²,121 h/km²,44.8%,4.3%,21 780 €/an,1 108 €/m²,-
Stenay,2 507,27 km²,93 h/km²,38.5%,7.4%,19 220 €/an,1 003 €/m²,2.8
Bouligny,2 464,11 km²,224 h/km²,40.1%,6.9%,18 220 €/an,858 €/m²,2.8
Montmédy,2 052,23 km²,89 h/km²,38.3%,4.7%,20 110 €/an,934 €/m²,-
Fains-Véel,2 109,18 km²,117 h/km²,39.4%,2.6%,23 900 €/an,1 386 €/m²,3.6
Vaucouleurs,1 939,39 km²,50 h/km²,38.7%,7.9%,19 450 €/an,969 €/m²,-
