Nb habitants,829 419,Classement
Age moyen,57 ans,Classement
Pop active,47.1%,Classement
Taux chômage,6.3%,Classement
Pop densité,141 h/km²,Classement
Revenu moyen,22 894 €/an,Classement
Agressions physiques / sexuelles,5 372
Cambriolages,743
Vols / dégradations,6 630
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Beauvais,57 071,33 km²,1 729 h/km²,43.5%,9.8%,18 690 €/an,1 834 €/m²,3.2
Compiègne,40 615,53 km²,766 h/km²,42.4%,6.9%,19 990 €/an,2 380 €/m²,3.8
Creil,36 169,11 km²,3 288 h/km²,39.4%,9.9%,14 980 €/an,1 933 €/m²,2.1
Nogent-sur-Oise,20 780,7 km²,2 969 h/km²,41.5%,8.5%,17 080 €/an,1 752 €/m²,3.5
Crépy-en-Valois,14 788,16 km²,924 h/km²,46.1%,5.5%,22 230 €/an,2 651 €/m²,3.6
Senlis,14 760,24 km²,615 h/km²,47.4%,5.2%,25 920 €/an,3 203 €/m²,4.0
Méru,14 452,23 km²,628 h/km²,45.6%,8.2%,19 210 €/an,2 134 €/m²,3.8
Noyon,13 190,18 km²,733 h/km²,39.3%,10.4%,16 840 €/an,1 364 €/m²,2.5
Montataire,13 645,11 km²,1 240 h/km²,42.2%,9.3%,16 730 €/an,1 918 €/m²,3.2
Pont-Sainte-Maxence,12 602,15 km²,840 h/km²,47.5%,8.6%,19 910 €/an,2 137 €/m²,3.7
Chantilly,10 950,16 km²,684 h/km²,52.2%,5.7%,26 240 €/an,3 814 €/m²,3.7
Clermont,10 163,6 km²,1 694 h/km²,47.9%,6.1%,20 680 €/an,2 056 €/m²,3.4
Chambly,10 147,13 km²,781 h/km²,50.6%,5.6%,22 820 €/an,2 861 €/m²,3.6
Gouvieux,8 978,23 km²,390 h/km²,45%,4.1%,30 280 €/an,3 399 €/m²,3.9
Lamorlaye,8 784,15 km²,586 h/km²,45.5%,4.2%,32 570 €/an,3 400 €/m²,4.1
