Nb habitants,1 255 633,Classement
Age moyen,56 ans,Classement
Pop active,45.2%,Classement
Taux chômage,6.8%,Classement
Pop densité,200 h/km²,Classement
Revenu moyen,21 815 €/an,Classement
Agressions physiques / sexuelles,10 323
Cambriolages,1 884
Vols / dégradations,13 238
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Le Havre,168 290,47 km²,3 581 h/km²,43.2%,9.4%,19 380 €/an,1 961 €/m²,3.3
Rouen,112 321,21 km²,5 349 h/km²,48.5%,8.7%,20 620 €/an,2 483 €/m²,3.3
Dieppe,28 241,12 km²,2 353 h/km²,39.8%,9.5%,18 190 €/an,1 775 €/m²,3.7
Sotteville-lès-Rouen,29 068,7 km²,4 153 h/km²,44.6%,7.8%,20 550 €/an,1 906 €/m²,3.6
Saint-Étienne-du-Rouvray,28 352,18 km²,1 575 h/km²,39.7%,8.5%,17 960 €/an,1 719 €/m²,2.3
Le Grand-Quevilly,25 963,11 km²,2 360 h/km²,44.3%,6.7%,19 950 €/an,2 237 €/m²,3.8
Le Petit-Quevilly,22 000,4 km²,5 500 h/km²,47.4%,9.5%,18 190 €/an,1 611 €/m²,2.7
Mont-Saint-Aignan,19 357,8 km²,2 420 h/km²,41.1%,6%,27 790 €/an,2 331 €/m²,3.4
Fécamp,18 041,15 km²,1 203 h/km²,40%,7.9%,18 940 €/an,1 746 €/m²,3.2
Elbeuf,16 224,16 km²,1 014 h/km²,45.1%,13.3%,16 840 €/an,1 357 €/m²,2.6
Montivilliers,15 470,19 km²,814 h/km²,44%,5.5%,22 930 €/an,2 134 €/m²,3.2
Canteleu,13 846,18 km²,769 h/km²,42.8%,8.8%,17 690 €/an,1 731 €/m²,3.4
Bois-Guillaume,14 592,9 km²,1 621 h/km²,43.7%,4.3%,31 160 €/an,2 657 €/m²,4.0
Barentin,12 398,13 km²,954 h/km²,46.3%,6.5%,20 680 €/an,1 832 €/m²,3.9
Yvetot,11 448,7 km²,1 635 h/km²,43.6%,6%,20 420 €/an,1 871 €/m²,3.7
