Nb habitants,1 076 711,Classement
Age moyen,58 ans,Classement
Pop active,42.5%,Classement
Taux chômage,6.1%,Classement
Pop densité,180 h/km²,Classement
Revenu moyen,21 142 €/an,Classement
Agressions physiques / sexuelles,10 954
Cambriolages,3 918
Vols / dégradations,16 578
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Toulon,178 745,43 km²,4 157 h/km²,42.8%,6.8%,19 950 €/an,2 629 €/m²,3.1
La Seyne-sur-Mer,62 987,22 km²,2 863 h/km²,41.6%,6.9%,20 270 €/an,3 026 €/m²,2.9
Hyères,54 821,132 km²,415 h/km²,41.7%,6.1%,21 800 €/an,3 636 €/m²,3.2
Fréjus,54 458,102 km²,534 h/km²,41.7%,6.2%,20 870 €/an,3 539 €/m²,3.7
Draguignan,39 433,54 km²,730 h/km²,42.9%,6.9%,20 620 €/an,2 077 €/m²,3.7
Saint-Raphaël,36 027,90 km²,400 h/km²,34.3%,4.9%,23 850 €/an,4 183 €/m²,3.6
Six-Fours-les-Plages,34 592,27 km²,1 281 h/km²,39.9%,5.2%,23 500 €/an,4 283 €/m²,3.4
La Garde,25 505,16 km²,1 594 h/km²,41.7%,6.1%,22 300 €/an,3 265 €/m²,4.1
La Valette-du-Var,24 087,16 km²,1 505 h/km²,45.9%,5.2%,22 550 €/an,2 942 €/m²,2.8
La Crau,18 774,38 km²,494 h/km²,47%,4.7%,23 840 €/an,3 565 €/m²,3.4
Brignoles,17 361,71 km²,245 h/km²,43.1%,7.7%,18 900 €/an,2 282 €/m²,2.8
Sanary-sur-Mer,16 889,19 km²,889 h/km²,34.9%,4.7%,24 400 €/an,5 172 €/m²,3.5
Saint-Maximin-la-Sainte-Baume,17 095,64 km²,267 h/km²,44.8%,6.4%,23 020 €/an,2 957 €/m²,3.6
Sainte-Maxime,14 448,82 km²,176 h/km²,42.7%,7.7%,21 720 €/an,4 766 €/m²,3.0
Ollioules,13 866,20 km²,693 h/km²,43.6%,5.2%,23 530 €/an,3 670 €/m²,3.8
